workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Pin,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,PinId,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the pin you just observed.",What is your overall impression of the pin?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,"After observing the pin, what is your overall impression of the item shown in the image above?",How much do you think the pin creator favors the item shown in the image above?,How likely do you think there is a relationship between the pin creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the pin you observed states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
351,7,7,4,2,No,No,Yes,No,Yes,No,Every Few Weeks,Every Few Weeks,A Few Times A Week,Never,Several Times A Day,Every Few Weeks,Never,Never,Never,Never,Less Often,Never,73,80,781374604069700266,17,97,It featured an ad for suet plugs.  There was a cartoon woodpecker seeming to peer around an edge.,Somewhat Negative,It seems absurd and cartoonish for no good reason.,67,164,Somewhat Negative,Strongly Favors,Extremely Likely,There is a link which implied a monetary bonus paid.,69,249,If someone who follows the link proceeds to buy something then the owner of the link receives a commission.,63,312,73,385,1965,Male,Some College,"Less than $25,000",21,406
352,5,5,2,1,No,No,No,No,Yes,Yes,Never,Never,Never,Never,Several Times A Day,Several Times A Day,Never,Never,Never,Never,Less Often,Several Times A Day,37,42,697283954778000593,17,59,"It's basically a soap holder. I'm confused though because it says its DIY, then leads to the amazon purchase page.",Neutral,I don't feel any way in particular.,43,102,Neutral,Strongly Favors,Somewhat Likely,"It is a very specific item to pin, that is also not very popular.",41,149,"""'affiliate link'"" to me, while at first sounding like gibberish, I realized it means affiliated link. That means that it is sponsored by the company who makes the soap holder.",53,202,24,226,1997,Female,Some College,"$35,000 to $49,999",18,244
353,6,6,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Less Often,A Few Times A Week,A Few Times A Week,Several Times A Day,About Once A Day,Every Few Weeks,Never,Never,Never,A Few Times A Week,A Few Times A Week,32,38,414823815668000016,10,48,Looks like they were bedazzled kids shoes. 4 different pictures. Slogan was we are dreamy girls,Neutral,"I don't care about the product, so I have no opinion on it",45,93,Neutral,Slightly Favors,Somewhat Unlikely,"They are both shoes, but these aren't DIY like the previous ones.",44,144,affiliate link,8,152,12,164,1988,Male,Master's Degree,"$100,000 to $124,999",11,175
354,93,93,1,2,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,A Few Times A Week,Several Times A Day,Several Times A Day,Never,Several Times A Day,Never,Every Few Weeks,About Once A Day,Never,Never,62,155,781374604069700266,25,180,"It was suet plugs to feed wild birds year round. The brand name was Woodpecker. I think it was made in USA. The pinner was named Dixie something. It was pinned under ""pets.""",Neutral,"I live on the first floor in an apartment building, so I have no way to feed wild birds in/around my home. I would if I could, but it's not really relevant to me. The inage was a little tacky. It looked like a lottery ticket. Wild animals are not pets.",153,333,Somewhat Negative,Strongly Favors,Neutral,"She might be the owner or an employee of the company; she might have posted an affiliate link; she might just be trying to make it easier for people to get what she thinks is a great product. I would guess one of te first two, but if it's the second she's not affiliated with the co., per se.",119,463,,,,14,477,1959,Female,"Professional Degree (e.g., MBA, J.D.)","$50,000 to $74,999",18,495
355,16,16,2,4,Yes,Yes,Yes,Yes,Yes,No,Every Few Weeks,About Once A Day,Less Often,Every Few Weeks,A Few Times A Week,Never,Every Few Weeks,About Once A Day,Never,Every Few Weeks,Never,Never,59,75,1548181098801468,51,126,"It was of a woman (presumably) standing behind and hidden by a grey and white striped throw that she was holding up to be photographed. Her caption was ""for the home,"" so she was obviously showing us something that she planned to use in her decorating.",Somewhat Positive,"I like pins like that, where people show what they are interested in on a more personal level. But I only chose ""Somewhat Positive"" because the colors set kind of a dreary tone, which made it less enjoyable for me.",147,273,Somewhat Positive,Strongly Favors,Somewhat Unlikely,"If Anthropologie sells it (as indicated by the description), it's likely of very good quality, and the fact that it's sold out is likely an indication of its popularity. However, again, I personally find it dreary.",136,427,"It's an affiliate link, meaning that if someone follows the link and buys the item, the person who posted it gets a monetary commission.",42,469,27,496,1969,Female,Bachelor's Degree,"$25,000 to $34,999",20,516
356,9,9,3,4,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Never,A Few Times A Week,A Few Times A Week,Never,Less Often,Never,Never,Never,Never,Never,42,51,1548181098801468,6,57,"Someone is holding a gray blanket with horizontal stripes,",Somewhat Positive,It looks pleasant and appealing,29,87,Somewhat Positive,Strongly Favors,Somewhat Likely,Its very likely that the post is sponsored,33,130,Appears to be an error...it reads 'affiliate link',34,164,14,178,1980,Male,Associate's Degree,"$125,000 to $149,999",12,190
357,4,4,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,A Few Times A Week,Less Often,About Once A Day,A Few Times A Week,A Few Times A Week,About Once A Day,Every Few Weeks,Less Often,Several Times A Day,Never,A Few Times A Week,101,105,804314814672700115,3,108,It was a dog bed. Looked like a shark.,Somewhat Positive,"I thought it was a cute dog bed, but irrelevant to me.",22,130,Somewhat Positive,Strongly Favors,Neutral,I'm honestly not sure if there is a relationship between the two.,19,153,,,,13,166,1995,Female,Some College,"$25,000 to $34,999",8,174
358,25,25,1,2,Yes,No,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Less Often,Less Often,Several Times A Day,Less Often,Less Often,77,102,781374604069700266,14,116,This was a pin for suet pellets.  It looks like it is used for year round wild bird feeding. ,Neutral,I have no interest in this sort of pin so it is nothing I would spend time viewing. ,86,202,Neutral,Moderately Favors,Somewhat Likely, The person posting either sells this item or is invested in it somehow even it'd repeat purchasing,93,310,,,,32,342,1981,Female,Associate's Degree,"$75,000 to $99,999",29,371
359,70,70,4,3,Yes,No,Yes,Yes,Yes,No,A Few Times A Week,Never,About Once A Day,A Few Times A Week,A Few Times A Week,Never,Every Few Weeks,Never,Less Often,Every Few Weeks,Never,Never,69,139,414823815668000016,33,172,it was an image of four shiny baby shoes with pink and white color,Somewhat Positive,Baby things are always cute. It brings this bit of amusement inside when you observe tiny things only made for babies,163,335,Somewhat Positive,Moderately Favors,Somewhat Likely,"As stated by the creator of the pin that he or she receives a commission for each sale, i think it to be likely that there is some professional relationship between the creator and organization",166,601,"to me, i think, shows that the link contains the original product and the creator somewhat adds some modification to it",83,684,48,732,1993,Male,Bachelor's Degree,"$50,000 to $74,999",18,750
360,1251,1251,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,Several Times A Day,Every Few Weeks,A Few Times A Week,A Few Times A Week,Every Few Weeks,Every Few Weeks,Less Often,Less Often,60,1311,697283954778000593,16,1327,It was a nice modern bathroom soap holder. It was a good design and simple.,Somewhat Positive,"I would use this at the right price, its a good idea and practical to have",127,1454,Somewhat Positive,Strongly Favors,Extremely Likely,Its the exact same design and so I would assume that the pin was promoting the company and the item.,64,1525,Details can be found by clicking on the image,58,1583,23,1606,1990,Female,Bachelor's Degree,"$50,000 to $74,999",16,1622
361,5,5,1,3,Not Sure,Yes,Yes,No,Yes,Yes,About Once A Day,About Once A Day,Less Often,Less Often,A Few Times A Week,About Once A Day,Every Few Weeks,Every Few Weeks,Never,Never,Never,Every Few Weeks,42,47,414823815668000016,5,52,They were what looked like children's shoes. They were pink and shiny. It didn't really interest me much at all.,Extremely Negative,It's not something pertinent to my interests at all.,234,286,Somewhat Negative,Slightly Favors,Somewhat Likely,The link isn't really that similar to the pin. Maybe the person who created the pin is receiving affiliate money for it.,59,355,,,,14,369,1990,Male,Bachelor's Degree,"$75,000 to $99,999",13,382
362,67,67,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Every Few Weeks,Several Times A Day,Several Times A Day,Every Few Weeks,A Few Times A Week,Every Few Weeks,Every Few Weeks,A Few Times A Week,A Few Times A Week,Every Few Weeks,Less Often,Less Often,284,351,1548181098801468,9,360,A picture of a person holding a striped blanket.,Somewhat Positive,It looks like a quality product.,51,411,Somewhat Positive,Strongly Favors,Somewhat Likely,This is likely an advertisement.,23,442,,,,51,493,1982,Female,Bachelor's Degree,"$75,000 to $99,999",18,511
363,17,17,1,4,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,Every Few Weeks,Less Often,Several Times A Day,Less Often,Several Times A Day,Never,Less Often,31,48,1548181098801468,16,64,It's a person holding up what appears to be either a blue and white striped blanket or table cloth.,Somewhat Positive,I like the design of what was pictured but it would nice to have more info on exactly what it was. ,64,128,Extremely Positive,Moderately Favors,Somewhat Unlikely,I feel that most Pinterest shares/repins are not from people connected to a company unless it's coming from the company's account. ,98,234,,,,19,253,1985,Female,"Professional Degree (e.g., MBA, J.D.)","$150,000 or more",15,268
364,22,22,2,5,Yes,No,Yes,No,No,No,Several Times A Day,Never,Never,Several Times A Day,Every Few Weeks,Never,A Few Times A Week,Never,Never,Less Often,Never,Never,85,107,804314814672700115,15,122,I looks like a small dog bed with shark like teeth. I have no use for it.,Somewhat Negative,"The bed is silly. I don't have small dogs.  Plus, my large dogs would destroy that in a very short time.",108,230,Somewhat Negative,Strongly Favors,Somewhat Likely,This bed is sold on a commercial site. The person who pinned this could potentially gain from sharing .,130,376,I would guess that affiliate link might mean affiliated link.Person sharing pin may receive compensation if linked is clicked.,80,456,49,505,1965,Female,Associate's Degree,"$50,000 to $74,999",24,529
365,6,6,2,1,Yes,No,Yes,Yes,Yes,No,A Few Times A Week,Never,Less Often,Every Few Weeks,A Few Times A Week,Never,Every Few Weeks,Never,Never,Less Often,Never,Never,52,58,697283954778000593,37,95,"This is a metal soap holder, for the purposes of facilitating bathroom ideas. It presents itself as a DIY accessory.",Neutral,"It is rather generic, and I do not perceive anything special about the soap holder or concept. I don't dislike it , but in no way does the pin stand out. It has little description or process behind the product.",112,207,Somewhat Negative,Slightly Favors,Somewhat Likely,"It comes across as more of an ad now, rather than a DIY concept. It is expensive, somewhat, for what it is. I don't dislike the product, but the little creativity that I associated with the pin now becomes lost with the marketplace association.",117,340,"Affiliated Link? A link to the product purchase page, perhaps, or further description and pricing.",38,378,31,409,1980,Female,Bachelor's Degree,"$25,000 to $34,999",15,424
366,7,7,5,1,Yes,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,Less Often,Less Often,Every Few Weeks,Several Times A Day,Never,Every Few Weeks,Less Often,Less Often,Every Few Weeks,Less Often,Never,59,66,697283954778000593,13,79,The pin was for a very stylish do it yourself soap dish.,Extremely Positive,The dish looked gorgeous and I'd be inclined to click on it and see how it was installed. If it's a non-permanent installation I'd consider doing it myself.,75,154,Extremely Negative,Slightly Favors,Extremely Likely,So much for do it yourself.  This isn't so much a project as an attempt to sell an item.,73,240,That the person is receiving money if someone clicks the link and purchases the product. Basically it's an advertisement that they may or may not get money from.,59,299,23,322,1981,Female,Associate's Degree,"$25,000 to $34,999",13,335
367,6,6,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Less Often,Several Times A Day,Every Few Weeks,A Few Times A Week,About Once A Day,About Once A Day,Never,Several Times A Day,Never,A Few Times A Week,55,61,804314814672700115,9,70,A shark themed dog bed.,Extremely Positive,I think it is very unique and cute. It is something that would instantly grab my attention. I don't have a dog but I think my cat would love it.,40,110,Extremely Positive,Strongly Favors,Somewhat Likely,The way the description on the pin leads the viewer straight to purchase it. It seemed more like a sales pitch than someone simply interested in said item.,73,209,,,,36,245,1986,Female,Some College,"Less than $25,000",40,285
368,22,22,4,2,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,About Once A Day,A Few Times A Week,Several Times A Day,Never,About Once A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,230,252,781374604069700266,420,672,It looked like some kind of energy pill. I couldn't tell if it was actually for humans.,Neutral,It was a little confusing as to who it was for.,82,754,Somewhat Positive,Moderately Favors,Extremely Likely,It states she gets paid for getting sells through the affiliated link to the company,77,849,She gets comission on whoever clicks on the link and also maybe if products are bought.,59,908,69,977,1977,Female,High School Graduate,"$35,000 to $49,999",17,994
369,9,9,4,5,No,No,Yes,Yes,Yes,Yes,About Once A Day,Never,About Once A Day,Never,About Once A Day,About Once A Day,About Once A Day,Never,About Once A Day,Never,A Few Times A Week,About Once A Day,81,90,804314814672700115,6,96,Shark Dog bed for sale,Somewhat Positive,To get my opinion,66,162,Somewhat Positive,Somewhat Favors,Somewhat Likely,I like the dog bed and I am not offended that there is an affiliation. ,62,249,That they receive money for linking this product. So there is a monetary motive for their link.,55,304,35,339,1971,Female,Associate's Degree,"$50,000 to $74,999",254,593
370,12,12,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Every Few Weeks,Several Times A Day,Several Times A Day,About Once A Day,A Few Times A Week,About Once A Day,Every Few Weeks,Several Times A Day,Every Few Weeks,About Once A Day,65,77,804314814672700115,6,83,It's a dog bed. It is shaped like a shark. Your dog would sleep in the belly of the shark. It's really cute!,Extremely Positive,"It's absolutely adorable. It's a nice place for a pup to sleep, and would look really cool in your home.",62,145,Somewhat Negative,Somewhat Favors,Extremely Likely,That was not a pin. That was an ad from the seller. I feel like Pinterest is not the place for advertisement. ,147,306,,,,27,333,1985,Female,Bachelor's Degree,"$35,000 to $49,999",16,349
