workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Video,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,VideoId,player_actions,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the video you just watched.",What is your overall impression of the video?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,Time_spent_page_description,Time_spent_survey_description,"After watching the video, what is your overall impression of the item shown in the image above?",How much do you think the video creator favors the item shown in the image above?,How likely do you think there is a relationship between the video creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the video you watched states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
577,8,8,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,Several Times A Day,A Few Times A Week,Several Times A Day,About Once A Day,About Once A Day,Every Few Weeks,About Once A Day,A Few Times A Week,51,59,DQktwMexxE0,Start|0;-1|0;3|0;1|0.002000093460083008;2|148.31775324675323;3|148.31775324675323;1|148.317753;2|180.02463636363638;3|180.02463636363638;1|180.02563592752074;2|200.81025974025974;3|200.81025974025974;1|200.81125892752075;2|209.970025974026;3|209.970025974026;1|209.970025;0|217.081;,196,255,A cat was interested in a furby toy and the toy would randomly go off and sometimes scare the cat. The cat never lost interest in the toy.,Somewhat Positive,"Its good wholesome fun, watching a cat play around with a toy.",49,304,14,318,Somewhat Negative,Moderately Favors,Neutral,The creator of the video is just recommending food that they give to their cats. Or maybe has a partnership with the brand. ,57,375,It means that if we click and purchase the product then the creator of the video gets a little money from it.,26,401,26,427,1985,Male,Associate's Degree,"$25,000 to $34,999",14,441
578,6,6,1,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Less Often,About Once A Day,A Few Times A Week,About Once A Day,Never,A Few Times A Week,Never,A Few Times A Week,A Few Times A Week,Less Often,Never,40,46,DQktwMexxE0,Start|0;-1|0;3|0;1|0;0|217.081;,251,297,"A cat investigates a furbey on the floor. Each time the toy talks and moves, the cat is startled. After a while, it gets close and investigates further. It's very interested. When the owner puts the toy away on a shelf, the cat climbs up determined to investigate and play some more. ",Somewhat Positive,"I love cats. I was interested in watching the cat's behavior. I thought it was cute, but then saw the cat was a little afraid. As I watched more, I could see the cat become less frightened and more curious.",154,451,45,496,Somewhat Positive,Does Not Favor At All,Neutral,"There's nothing in the video or the advertisment itself that implies a link between the two. I'm inclined to believe that unless a person activley promotes an item, then they don't favor it. On somewhere like YouTube, they may not even be aware of the content of the advert.",134,630,,,,72,702,1964,Male,Some College,"$75,000 to $99,999",13,715
579,7,7,1,3,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,About Once A Day,Never,Several Times A Day,Several Times A Day,Several Times A Day,A Few Times A Week,About Once A Day,Never,A Few Times A Week,A Few Times A Week,43,50,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.01699995994567871;,235,285,It showed pictures of a hotel in Denmark and people enjoying the pool and other facilities. The song playing was Deck the Halls.,Somewhat Negative,The pictures were relaxing but the song playing over and over greatly annoyed me.,85,370,27,397,Somewhat Negative,Somewhat Favors,Somewhat Likely,I feel the video goes well with the website.,57,454,,,,24,478,1982,Female,Associate's Degree,"$50,000 to $74,999",17,495
580,20,20,5,5,Yes,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,Several Times A Day,About Once A Day,Less Often,About Once A Day,Every Few Weeks,Every Few Weeks,Several Times A Day,A Few Times A Week,Never,Every Few Weeks,Less Often,71,91,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.002000093460083008;2|202.04292857142858;3|202.04292857142858;1|202.044388;2|208.529398;,250,341,It was a review of a modern turntable with voiceover and shots of the product.,Somewhat Positive,"I liked the quality of the camera the video was shot on, and the turntable product looked good as well.",146,487,12,499,Somewhat Positive,Moderately Favors,Somewhat Likely,Affiliate links allow the creator to make money from purchases.,52,551,Like I said previously it allows the creator to make money from people buying the turntable,48,599,36,635,1994,Male,High School Graduate,"$35,000 to $49,999",22,657
581,8,8,2,5,Yes,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,Every Few Weeks,About Once A Day,Less Often,About Once A Day,Less Often,Every Few Weeks,Less Often,Less Often,Never,Never,Less Often,40,48,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0009999275207519531;2|213.49115255303818;3|213.49115255303818;1|213.49311792752076;0|220.721;,189,237,I watched an extremely amateur review of an Amazon product.,Somewhat Negative,He ummed and stumbled over his words so much that the video could have been cut in half and still fit all of his relevant and unique words in the video.,73,310,9,319,Extremely Positive,Strongly Favors,Neutral,They may have sent him a free one to review which is why it's positive and not very thought out.,36,355,It means the creator is being paid for your click on his link.,19,374,15,389,1981,Female,Associate's Degree,"$35,000 to $49,999",13,402
582,12,12,2,1,No,Yes,No,No,Yes,No,Less Often,Every Few Weeks,Less Often,Less Often,Several Times A Day,Never,Never,Every Few Weeks,Never,Never,Every Few Weeks,Never,66,78,DQktwMexxE0,Start|0;-1|0;3|0;1|0.038332959945678716;,179,257,The cat had multiple humorous interactions with a toy that was very popular in the 90s.,Somewhat Positive,Cats are very interesting. Most cat owners buy cats because of their funny and curious nature.,112,369,44,413,Neutral,Moderately Favors,Neutral,"The product has very positive reviews with at least 90 customers who positively rated the product. Although the product is 15 lbs, I still think $200 is expensive for cat food.",135,548,It means that affiliates of the product are allowed to post their links for monetary gain.,29,577,12,589,1991,Male,Some College,"$75,000 to $99,999",30,619
583,44,44,3,4,No,No,Yes,Yes,Yes,No,Several Times A Day,Never,A Few Times A Week,Never,Several Times A Day,Never,Several Times A Day,Never,Every Few Weeks,Never,Never,Never,44,88,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.002000093460083008;0|200.401;,208,296,"Footage of Iceland from several cameras, sped-up with EDM playing over it. ",Somewhat Positive,"The music was nice, and the footage was pretty. ",45,342,9,351,Somewhat Positive,Strongly Favors,Somewhat Unlikely,There was no specific mention of brand sponsorship in the video. ,91,442,The websites links presented in the description may also link to other websites owned by the company. ,90,532,105,637,1992,Male,High School Graduate,"$35,000 to $49,999",10,647
584,11,11,3,1,No,Yes,Yes,Yes,Yes,No,A Few Times A Week,Several Times A Day,About Once A Day,Never,Several Times A Day,Never,Every Few Weeks,About Once A Day,A Few Times A Week,Never,Never,Never,33,45,DQktwMexxE0,Start|0;-1|0;3|0;1|0.0009999275207519531;0|217.081;,229,274,"A cat was playing with a Japanese furby doll. (Actually a couple of them). It reacted differently to them and seemed to be playful, but also scared of its noised.",Somewhat Negative,The owners were laughing in the background and seemed to be using the Furby to mess with the cat.,60,334,9,343,Neutral,Somewhat Favors,Extremely Likely,They included the link in the description even though the video isn't about cat food so I assume it's a sponsored or ad type deal.,43,386,The person who posted the video is getting paid to recommend products or sites.,14,400,68,468,1985,Male,Some College,"$35,000 to $49,999",11,479
585,125,125,2,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,A Few Times A Week,About Once A Day,About Once A Day,Never,About Once A Day,A Few Times A Week,Every Few Weeks,A Few Times A Week,Less Often,Never,55,180,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.0009999275207519531;0|200.401;,215,395,I watched a time lapse video of Iceland. It incorporated dash cam and drone video. The dash cam footage showed driving time lapse video of driving on Iceland's roads. The drone footage showed a lot of Iceland's rivers and waterfalls.,Somewhat Positive,"I typically find nature to be awe inspiring and uplifting, which is why I found the video to be positive. ",228,623,26,649,Neutral,Moderately Favors,Extremely Likely,The affiliate link most likely exists to create revenue for the video's poster. The whole purpose of the video may be to generate revenue mostly through being an Amazon affiliate. ,125,774,It means there are links included to buy items were the content poster receives a commission when buyers click on the link and purchase items. ,64,838,33,871,1978,Female,Some College,"$75,000 to $99,999",12,883
586,6,6,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,About Once A Day,A Few Times A Week,Several Times A Day,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,Less Often,Less Often,Several Times A Day,55,61,DQktwMexxE0,Start|0;-1|0;3|0;1|0.0010001659393310547;0|217.081;,224,285,"A cat was intrigued by fur babies. It is scared but intrigued at the same time. So even though it flinches when the fur baby starts being noisy, it still wants to explore and see what it is all about.",Somewhat Positive,"It was interesting to see what the cat would do next. After a while, it got to be repetitive though.",86,371,21,392,Neutral,Strongly Favors,Somewhat Likely,They have a link to that product so they probably get compensation for it. ,37,429,"That if you click on the link, the content creator will get some sort of compensation.",21,450,19,469,1991,Female,Master's Degree,"$50,000 to $74,999",22,491
587,7,7,4,4,Not Sure,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,Several Times A Day,Several Times A Day,Never,Several Times A Day,Several Times A Day,Several Times A Day,A Few Times A Week,About Once A Day,Never,Several Times A Day,About Once A Day,68,75,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.029999971389770508;2|120.7881111111111;1|120.80391792488183;3|183.29459194029855;1|181.54278189352075;0|200.3882;,172,247,Drone video of Mountains and waterfalls ,Somewhat Positive,Fun entertaining ,33,280,13,294,Somewhat Positive,Strongly Favors,Neutral,Not sponsored ,33,327,He is making small amount if I buy it,25,352,13,365,1992,Female,Bachelor's Degree,"$75,000 to $99,999",18,383
588,13,13,2,2,No,No,No,No,Yes,No,Less Often,Never,Every Few Weeks,Every Few Weeks,Several Times A Day,Never,Never,Never,Never,Never,Every Few Weeks,Never,47,61,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0;2|6.793241;1|6.860999927520752;0|204.901;,216,277,A woman reviewed makeup and then applied it to her face.,Somewhat Positive,The presenter seemed interested in the product she was presenting.,66,343,20,363,Neutral,Somewhat Favors,Neutral,The video creator is likely using an affiliate link to get some credit if people click the link below the video and then buy the product from Amazon.,97,460,links to sites that sell the product and the video creator gets a percentage of the sale,37,497,25,522,1979,Male,Some College,"Less than $25,000",17,539
589,14,14,4,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,About Once A Day,Several Times A Day,A Few Times A Week,Never,A Few Times A Week,Less Often,Every Few Weeks,About Once A Day,Never,Never,41,55,DQktwMexxE0,Start|0;-1|0;3|0;1|0;0|217.081;,226,281,A cat was curious about a fur baby toy. It made sounds and moved and the cat checked it out.  when the toy was put away the cat went to the toy and found it.,Neutral,It was not either funny or sad. it was just a cat looking at a toy.,55,336,19,355,Neutral,Somewhat Favors,Extremely Likely,It seems like the video creator is trying to promote the sale of this item. This tells me that he/she is probably getting a royalty from the sale or from the advertisement.,67,422,Every time someone clicks on one of those links the person gets paid.,22,444,26,470,1970,Female,Some College,"$50,000 to $74,999",11,481
590,28,28,6,4,Yes,No,Yes,Yes,Yes,No,Never,Never,About Once A Day,About Once A Day,Every Few Weeks,Never,Never,Never,Less Often,Less Often,Never,Never,62,91,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.002000093460083008;,211,302,The video was about Iceland and it was fabulous!,Extremely Positive,"The scenery, coupled with the music, made me want to visit Iceland.",95,397,28,425,Somewhat Positive,Strongly Favors,Somewhat Likely,"Given the beautiful shots that were taken by air, I would be totally surprised if an ongoing relationship between the two parties did not exist.  I can envision a win-win situation for both parties.",169,594,"To me, the statement means that if I was interested in seeing/visiting other destinations (sites), I could pay a fee (or subscribe) to do so.",134,728,83,811,1958,Female,Bachelor's Degree,Prefer not to answer,42,853
591,21,21,2,4,No,Yes,Yes,Yes,No,No,About Once A Day,About Once A Day,About Once A Day,Never,About Once A Day,Never,About Once A Day,A Few Times A Week,A Few Times A Week,Never,Never,Never,53,74,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.007999897003173828;,211,285,its a video of beautiful scenarios and car race video game.,Extremely Positive,it was very much fun watching the videos ,58,343,62,405,Somewhat Positive,Moderately Favors,Somewhat Likely,its a great product from the kind of video it took,77,482,there may be a link that shows the same.,28,510,9,519,1987,Male,Bachelor's Degree,"$50,000 to $74,999",15,534
592,82,82,7,1,Yes,No,Yes,Yes,Yes,Yes,A Few Times A Week,Never,Several Times A Day,Every Few Weeks,Several Times A Day,About Once A Day,Less Often,Never,About Once A Day,Every Few Weeks,Less Often,A Few Times A Week,41,123,DQktwMexxE0,Start|0;-1|0;3|0;1|0.004999876022338867;0|217.081;,226,349,Sharla's cat Maro was observing a furbi. The cat was very interested in it and even cried when Sharla put it up on a dresser. ,Extremely Positive,I love cats and really enjoy watching their reactions to various things. ,60,409,13,422,Somewhat Positive,Somewhat Favors,Neutral,"Sometimes people put products in their videos/video descriptions because they genuinely like the product. Other times they may be paid or sponsored to show the product. In my opinion, it is one or the other so my answer is neutral. ",72,494,"The channel creator might get a kick-back, so to speak, from others buying the products shown/linked.  ",49,543,23,566,1992,Female,Some College,"$25,000 to $34,999",15,581
593,14,14,5,4,No,Yes,Yes,No,Yes,Yes,Several Times A Day,Less Often,Less Often,Never,Several Times A Day,Less Often,Less Often,Less Often,Never,Less Often,Less Often,Less Often,48,62,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.018708311444091796;,189,251,"The video showed footage all over Iceland! It has great views of waterfalls, scenery, mountains and a time lapse of someone driving in a car on the road.",Somewhat Positive,It has pleasant scenery to look at!,41,292,6,298,Neutral,Somewhat Favors,Somewhat Likely,The person uses the drone to record footage and have people buy it from his link to make money.,34,332,"It basically means that if you look at the product links, the creator will get money from the ads. If you end up purchasing something, the creator will obtain more money.",37,369,14,383,1994,Male,Bachelor's Degree,"Less than $25,000",10,393
594,17,17,5,2,Yes,Yes,Yes,Yes,Yes,No,A Few Times A Week,Never,Every Few Weeks,Every Few Weeks,About Once A Day,Never,Less Often,Never,Every Few Weeks,Less Often,Less Often,Never,86,103,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.002000093460083008;,210,313,It was a makeup tutorial in which the creator detailed how to put on eye shadow and other eye makeup. She told viewers about the brands that she used. ,Extremely Positive,"She is very pretty, and it was nice to learn about this. ",68,381,19,400,Extremely Positive,Moderately Favors,Somewhat Likely,I know that she can make money on YouTube ads but it is possible that she also is promoting the makeup brand.,50,450,"If you buy the makeup, she gets a percentage of the sale as an affiliate commission.",30,480,19,499,1977,Female,Master's Degree,"Less than $25,000",11,510
